667,2005-05-25,05,23,16,04,49,01
668,2005-05-28,49,33,56,02,14,01
669,2005-06-01,07,41,24,40,49,27
670,2005-06-04,42,59,58,37,48,22
671,2005-06-08,27,16,39,51,09,38
672,2005-06-11,43,34,53,38,28,24
673,2005-06-15,06,40,37,11,20,34
674,2005-06-18,22,32,18,29,42,38
675,2005-06-22,50,42,30,25,43,24
676,2005-06-25,49,32,15,09,41,42
677,2005-06-29,25,10,48,08,32,55
678,2005-07-02,44,46,31,14,40,42
679,2005-07-06,37,21,54,03,58,25
680,2005-07-09,44,02,26,05,03,22
681,2005-07-13,59,21,53,25,58,38
682,2005-07-16,60,37,47,36,04,27
683,2005-07-20,43,40,12,11,02,35
684,2005-07-23,50,37,33,40,19,17
685,2005-07-27,33,27,05,56,12,43
686,2005-07-30,33,05,04,54,15,26
687,2005-08-03,59,48,01,07,41,14
688,2005-08-06,47,30,52,11,21,35
689,2005-08-10,06,60,07,31,49,51
690,2005-08-13,15,41,08,47,12,53
691,2005-08-17,55,16,58,08,37,50
692,2005-08-20,33,18,60,11,58,57
693,2005-08-24,14,50,41,17,31,13
694,2005-08-27,15,19,29,53,37,41
695,2005-08-31,13,40,21,52,06,11
696,2005-09-03,37,16,34,57,53,09
697,2005-09-10,53,35,32,31,28,51
698,2005-09-14,22,08,27,43,55,12
699,2005-09-19,53,17,50,23,54,48
700,2005-09-21,02,03,24,40,31,14
701,2005-09-24,13,01,31,23,60,48
702,2005-09-28,01,56,18,58,45,57
703,2005-10-01,30,24,02,45,11,27
704,2005-10-05,02,27,50,34,18,04
705,2005-10-08,03,15,11,13,26,43
706,2005-10-15,22,10,17,07,02,60
707,2005-10-19,51,08,01,43,10,36
708,2005-10-22,45,13,39,47,09,07
709,2005-10-26,29,22,44,09,06,04
710,2005-10-29,46,25,05,49,39,34
711,2005-11-05,10,05,41,59,40,33
712,2005-11-09,35,07,53,58,08,43
713,2005-11-12,46,01,26,16,12,54
714,2005-11-16,17,53,39,08,07,35
715,2005-11-19,54,36,12,04,33,24
716,2005-11-23,29,02,07,50,16,32
717,2005-11-26,28,35,41,17,06,23
718,2005-11-30,07,35,21,39,58,33
719,2005-12-03,39,47,37,53,32,03
720,2005-12-07,12,56,44,51,31,54
721,2005-12-10,14,03,23,55,36,25
722,2005-12-14,60,36,57,18,44,09
723,2005-12-17,16,06,52,01,36,50
724,2005-12-21,34,51,55,17,48,27
725,2005-12-31,49,09,03,35,37,41
726,2006-01-04,40,47,01,05,07,37
727,2006-01-07,14,42,12,04,59,30
728,2006-01-11,44,42,13,08,24,32
729,2006-01-14,33,56,18,57,43,05
730,2006-01-18,45,15,02,54,16,50
731,2006-01-21,35,06,15,23,28,16
732,2006-01-25,49,19,53,50,17,06
733,2006-01-28,12,26,31,43,46,02
734,2006-02-01,44,45,27,29,43,54
735,2006-02-04,40,42,15,52,38,09
736,2006-02-08,01,21,38,41,56,49
737,2006-02-11,33,12,24,38,11,32
738,2006-02-15,15,30,14,42,26,54
739,2006-02-18,06,45,56,49,35,10
740,2006-02-22,29,47,12,50,16,28
741,2006-02-25,26,39,27,24,59,36
742,2006-03-01,34,17,07,41,02,50
743,2006-03-04,54,20,32,60,25,23
744,2006-03-08,26,46,12,23,39,04
745,2006-03-11,21,57,37,16,43,02
746,2006-03-15,49,12,10,57,25,01
747,2006-03-18,21,23,56,12,03,02
748,2006-03-22,01,07,19,51,35,02
749,2006-03-25,24,47,04,57,48,50
750,2006-03-29,58,17,54,10,42,33
751,2006-04-01,04,25,38,50,20,07
752,2006-04-05,25,04,29,42,24,23
753,2006-04-08,59,35,43,22,07,02
754,2006-04-12,04,42,34,50,03,13
755,2006-04-15,59,30,47,12,04,49
756,2006-04-19,37,50,41,05,38,27
757,2006-04-22,17,32,12,18,58,30
758,2006-04-26,47,59,01,23,36,43
759,2006-04-29,59,39,30,31,48,45
760,2006-05-03,12,17,60,44,46,45
761,2006-05-06,56,29,17,13,27,40
762,2006-05-10,39,09,21,12,37,54
763,2006-05-13,40,47,01,48,09,26
764,2006-05-18,07,03,55,47,53,45
765,2006-05-21,03,37,50,16,30,10
766,2006-05-24,01,50,19,42,24,58
767,2006-05-27,22,50,32,38,54,15
768,2006-05-31,33,37,59,30,04,08
769,2006-06-03,20,21,50,29,12,16
770,2006-06-07,04,34,25,35,48,12
771,2006-06-10,29,46,34,47,21,14
772,2006-06-14,38,51,52,60,10,35
773,2006-06-17,03,05,51,29,34,14
774,2006-06-21,37,05,54,58,46,10
775,2006-06-24,27,12,46,47,42,50
776,2006-06-28,57,35,60,41,03,15
777,2006-07-01,14,50,23,02,28,56
778,2006-07-05,45,20,36,37,31,51
779,2006-07-08,36,54,52,25,29,26
780,2006-07-12,10,50,28,51,59,07
781,2006-07-15,10,54,08,39,56,13
782,2006-07-19,11,23,59,42,35,02
783,2006-07-22,43,21,48,08,04,32
784,2006-07-26,42,56,08,37,27,53
785,2006-07-29,35,05,37,08,48,17
786,2006-08-02,27,31,26,11,10,41
787,2006-08-05,37,31,20,60,34,54
788,2006-08-09,31,57,17,19,29,44
789,2006-08-12,60,39,31,38,06,50
790,2006-08-16,22,02,19,28,43,06
791,2006-08-19,42,35,19,09,14,58
792,2006-08-23,43,56,09,45,29,34
793,2006-08-26,03,51,33,15,16,57
794,2006-08-30,56,47,55,38,42,03
795,2006-09-02,14,36,21,29,26,48
796,2006-09-06,19,24,43,34,39,05
797,2006-09-09,58,48,52,47,12,06
798,2006-09-13,32,09,04,52,29,03
799,2006-09-16,29,35,19,57,42,55
800,2006-09-20,01,07,56,11,37,38
801,2006-09-23,20,22,11,19,48,42
802,2006-09-27,14,24,60,06,18,48
803,2006-09-30,10,57,28,03,05,21
804,2006-10-04,13,59,37,56,03,47
805,2006-10-07,30,02,48,60,43,36
806,2006-10-12,60,41,47,26,35,18
807,2006-10-14,08,27,02,32,56,49
808,2006-10-18,15,21,31,46,02,57
809,2006-10-21,25,23,11,05,30,15
810,2006-10-25,04,33,01,48,05,37
811,2006-10-28,32,57,28,41,10,47
812,2006-11-01,57,39,54,11,38,13
813,2006-11-04,23,15,56,46,09,45
814,2006-11-08,11,02,46,50,08,41
815,2006-11-11,57,50,09,39,37,19
816,2006-11-16,21,47,40,52,30,20
817,2006-11-18,34,43,29,30,10,52
818,2006-11-22,44,41,22,08,09,25
819,2006-11-25,51,05,58,46,25,19
820,2006-11-29,17,45,32,21,10,46
821,2006-12-02,04,29,38,36,33,42
822,2006-12-06,04,17,41,10,27,52
823,2006-12-09,15,26,59,01,54,51
824,2006-12-13,33,48,06,07,20,09
825,2006-12-16,28,21,40,10,41,47
826,2006-12-19,45,06,08,07,53,27
827,2006-12-21,24,56,30,51,42,18
828,2006-12-23,23,50,53,42,28,38
829,2006-12-31,32,50,14,47,10,56
830,2007-01-03,53,51,02,41,13,49
831,2007-01-06,03,50,48,42,32,33
832,2007-01-10,17,49,15,33,39,23
833,2007-01-13,53,58,57,16,46,13
834,2007-01-17,44,10,17,16,51,34
835,2007-01-20,58,31,57,49,33,18
836,2007-01-24,28,22,38,17,52,59
837,2007-01-27,16,05,24,34,06,60
838,2007-01-31,09,30,47,38,23,44
839,2007-02-03,11,18,08,07,37,43
840,2007-02-07,43,29,35,59,31,17
841,2007-02-10,36,51,32,22,38,07
842,2007-02-14,51,44,60,09,07,30
843,2007-02-17,34,48,01,16,45,36
844,2007-02-24,54,24,44,57,34,16
845,2007-02-28,40,48,19,20,14,52
846,2007-03-03,47,54,02,50,03,44
847,2007-03-07,42,14,44,27,15,48
848,2007-03-10,56,34,17,32,47,27
849,2007-03-14,08,39,09,58,44,49
850,2007-03-17,60,22,59,25,44,07
851,2007-03-21,16,32,35,58,19,03
852,2007-03-24,14,38,06,23,44,34
853,2007-03-28,51,30,59,46,38,56
854,2007-03-31,17,03,24,27,44,25
855,2007-04-04,42,03,24,53,43,31
856,2007-04-07,11,40,41,47,15,42
857,2007-04-11,17,59,49,02,03,50
858,2007-04-14,31,37,54,23,04,18
859,2007-04-18,46,47,12,57,34,09
860,2007-04-23,22,08,17,42,44,02
861,2007-04-25,42,40,60,59,47,39
862,2007-04-28,19,35,12,02,11,08
863,2007-05-02,32,53,50,57,15,24
864,2007-05-05,31,11,33,42,57,08
865,2007-05-09,27,23,41,51,26,53
866,2007-05-12,36,48,27,40,05,46
867,2007-05-16,54,26,28,19,44,10
868,2007-05-19,57,51,21,22,25,40
869,2007-05-23,29,42,50,51,49,27
870,2007-05-26,52,08,43,34,40,21
871,2007-05-30,17,05,58,01,47,10
872,2007-06-02,18,55,58,43,31,05
873,2007-06-06,57,59,04,34,19,30
874,2007-06-09,59,20,52,42,44,10
875,2007-06-13,53,18,36,58,24,20
876,2007-06-16,04,12,41,45,60,08
877,2007-06-20,13,15,20,31,28,36
878,2007-06-23,37,12,43,38,11,54
879,2007-06-27,29,10,46,35,42,28
880,2007-06-30,51,30,49,25,37,46
881,2007-07-04,43,24,04,51,18,56
882,2007-07-07,42,45,44,60,41,17
883,2007-07-11,21,37,60,32,52,53
884,2007-07-14,22,11,02,14,39,12
885,2007-07-18,13,04,31,33,47,51
886,2007-07-21,50,55,37,33,59,17
887,2007-07-25,44,12,32,21,01,34
888,2007-07-28,50,24,40,54,52,60
889,2007-08-01,34,54,20,39,60,24
890,2007-08-04,09,21,22,07,17,54
891,2007-08-08,15,22,19,35,34,16
892,2007-08-11,01,49,52,42,19,44
893,2007-08-15,56,53,51,26,18,03
894,2007-08-18,37,24,44,28,20,41
895,2007-08-22,02,55,41,43,57,58
896,2007-08-25,31,11,41,35,22,05
897,2007-08-29,21,57,46,22,07,43
898,2007-09-01,04,08,03,54,45,30
899,2007-09-05,58,18,54,36,53,20
900,2007-09-08,04,21,59,18,38,34
901,2007-09-12,32,34,16,13,56,33
902,2007-09-15,52,55,23,50,58,18
903,2007-09-19,17,05,32,55,20,41
904,2007-09-22,32,44,59,53,48,51
905,2007-09-26,04,15,57,55,02,16
906,2007-09-29,35,39,29,24,07,14
907,2007-10-03,09,41,53,37,36,51
908,2007-10-06,19,01,09,25,50,52
909,2007-10-10,42,17,26,38,28,22
910,2007-10-13,53,29,36,03,15,27
911,2007-10-17,49,46,01,29,06,28
912,2007-10-20,26,21,54,04,19,29
913,2007-10-24,30,14,59,36,46,38
914,2007-10-27,33,51,09,23,45,12
915,2007-10-31,20,28,49,26,17,48
916,2007-11-03,33,37,05,38,28,36
917,2007-11-07,23,59,25,47,46,30
918,2007-11-10,38,44,08,04,12,52
919,2007-11-14,43,25,41,60,31,03
920,2007-11-17,17,57,55,24,52,05
921,2007-11-21,35,41,01,57,09,48
922,2007-11-24,41,49,45,19,13,12
923,2007-11-28,53,39,02,50,57,15
924,2007-12-01,51,27,60,21,20,02
925,2007-12-05,52,37,46,08,22,36
926,2007-12-08,40,41,34,33,21,59
927,2007-12-12,36,26,31,23,19,33
928,2007-12-15,32,10,49,60,04,33
929,2007-12-19,16,49,35,39,57,27
930,2007-12-22,46,20,55,37,28,49
931,2007-12-31,17,34,07,36,39,19
932,2008-01-05,02,21,42,53,36,17
933,2008-01-09,25,39,45,51,08,14
934,2008-01-12,25,48,44,03,21,01
935,2008-01-16,07,45,18,13,29,31
936,2008-01-19,05,33,14,29,44,22
937,2008-01-23,22,41,02,30,21,52
938,2008-01-26,35,15,27,57,50,59
939,2008-01-30,06,23,19,50,37,49
940,2008-02-02,25,33,51,31,05,37
941,2008-02-06,11,15,10,27,60,53
942,2008-02-09,05,52,18,08,59,42
943,2008-02-13,47,41,58,03,23,12
944,2008-02-16,16,58,43,37,52,59
945,2008-02-20,44,08,59,54,04,27
946,2008-02-23,59,01,47,05,52,12
947,2008-02-27,33,11,03,58,14,05
948,2008-03-01,22,44,41,46,52,54
949,2008-03-05,44,01,51,52,41,23
950,2008-03-08,48,59,49,41,42,23
951,2008-03-12,49,24,39,34,55,14
952,2008-03-15,54,11,27,18,02,30
953,2008-03-19,55,48,01,39,16,42
954,2008-03-22,08,05,24,18,57,33
955,2008-03-26,35,05,32,21,33,12
956,2008-03-29,46,51,47,59,54,57
957,2008-04-02,50,32,25,34,57,24
958,2008-04-05,13,22,07,33,51,48
959,2008-04-09,57,03,05,11,33,39
960,2008-04-12,34,06,33,18,53,19
961,2008-04-16,16,53,02,04,21,36
962,2008-04-19,02,48,49,40,55,11
963,2008-04-23,37,17,15,50,48,59
964,2008-04-26,42,13,33,20,08,26
965,2008-04-30,36,39,57,58,05,30
966,2008-05-03,01,58,26,28,04,41
967,2008-05-07,18,14,57,30,13,05
968,2008-05-10,30,04,13,60,51,01
969,2008-05-14,56,35,50,13,41,25
970,2008-05-17,57,34,05,54,28,21
971,2008-05-21,04,14,33,44,11,45
972,2008-05-24,33,18,15,56,31,34
973,2008-05-28,53,36,08,30,01,47
974,2008-05-31,45,20,38,31,16,12
975,2008-06-04,33,09,37,40,41,30
976,2008-06-07,28,53,38,23,14,25
977,2008-06-11,17,03,09,32,07,05
978,2008-06-14,42,58,12,18,16,27
979,2008-06-18,28,03,39,51,31,15
980,2008-06-21,35,17,59,15,36,29
981,2008-06-25,08,41,53,01,58,34
982,2008-06-28,12,24,08,40,43,49
983,2008-07-02,38,45,40,16,32,22
984,2008-07-05,46,20,04,43,47,10
985,2008-07-09,04,56,18,59,46,16
986,2008-07-12,32,06,31,24,15,19
987,2008-07-16,47,27,13,31,34,58
988,2008-07-19,48,17,46,56,60,08
989,2008-07-23,38,21,27,02,29,32
990,2008-07-26,29,18,02,15,10,39
991,2008-07-30,08,38,60,41,15,09
992,2008-08-02,06,08,04,01,25,28
993,2008-08-06,26,25,42,60,05,24
994,2008-08-09,44,40,58,29,03,20
995,2008-08-13,04,54,55,36,16,31
996,2008-08-16,21,23,20,07,29,15
997,2008-08-20,18,53,55,32,09,17
998,2008-08-23,28,21,04,32,03,22
999,2008-08-27,44,36,55,58,18,24
1000,2008-08-30,49,58,53,39,38,29
1001,2008-09-03,15,37,27,12,60,51
1002,2008-09-06,03,31,07,25,40,58
1003,2008-09-10,10,27,23,05,16,26
1004,2008-09-13,45,47,29,40,44,43
1005,2008-09-17,06,41,04,37,12,42
1006,2008-09-20,48,17,04,33,55,02
1007,2008-09-24,49,27,04,36,52,37
1008,2008-09-27,07,15,42,48,34,13
1009,2008-10-01,34,12,01,06,58,29
1010,2008-10-04,02,46,03,37,13,54
1011,2008-10-08,30,02,52,21,11,35
1012,2008-10-11,47,19,58,14,40,55
1013,2008-10-15,07,09,20,41,12,19
1014,2008-10-18,60,57,09,25,08,41
1015,2008-10-22,49,08,28,03,26,17
1016,2008-10-25,11,09,25,05,60,20
1017,2008-10-29,31,51,19,06,56,34
1018,2008-11-01,55,51,58,09,44,24
1019,2008-11-05,29,47,04,13,46,23
1020,2008-11-08,19,32,52,01,02,39
1021,2008-11-12,42,55,51,43,02,33
1022,2008-11-16,31,21,40,39,56,05
1023,2008-11-19,45,40,02,07,18,08
1024,2008-11-22,28,53,18,39,22,29
1025,2008-11-26,52,40,29,27,28,10
1026,2008-11-29,10,33,51,53,06,17
1027,2008-12-03,20,18,47,44,60,33
1028,2008-12-06,54,26,34,51,20,52
1029,2008-12-10,17,05,16,24,20,32
1030,2008-12-13,57,08,54,01,23,37
1031,2008-12-17,49,33,24,40,46,43
1032,2008-12-20,57,43,15,29,26,16
1033,2008-12-24,39,06,05,33,54,17
1034,2008-12-27,20,42,01,03,49,18
1035,2008-12-31,51,60,01,11,59,26
1036,2009-01-03,27,39,36,10,41,52
1037,2009-01-07,56,36,04,44,46,53
1038,2009-01-10,51,07,06,28,35,43
1039,2009-01-14,52,02,20,27,36,24
1040,2009-01-17,44,01,28,55,06,39
1041,2009-01-21,12,10,36,54,44,57
1042,2009-01-24,25,46,51,18,13,30
1043,2009-01-28,25,14,51,48,60,21
1044,2009-01-31,58,10,39,11,13,35
1045,2009-02-04,31,06,05,17,50,01
1046,2009-02-07,57,40,28,42,54,55
1047,2009-02-11,01,02,10,48,14,08
1048,2009-02-14,57,03,38,21,28,16
1049,2009-02-18,34,17,52,05,02,29
1050,2009-02-21,60,14,45,24,33,26
1051,2009-02-25,57,11,07,43,10,13
1052,2009-02-28,08,11,16,15,57,52
1053,2009-03-04,15,42,27,53,34,49
1054,2009-03-07,41,27,13,60,14,18
1055,2009-03-11,27,32,15,12,20,16
1056,2009-03-14,38,08,50,53,59,06
1057,2009-03-18,15,49,59,04,03,02
1058,2009-03-21,20,51,57,45,24,18
1059,2009-03-25,37,01,14,45,12,16
1060,2009-03-28,01,41,03,18,16,42
1061,2009-04-01,09,41,56,23,21,30
1062,2009-04-04,55,08,02,37,23,33
1063,2009-04-08,49,01,22,47,44,50
1064,2009-04-11,28,04,19,16,49,29
1065,2009-04-15,07,57,19,43,39,30
1066,2009-04-18,10,43,49,32,25,06
1067,2009-04-22,14,10,56,25,04,28
1068,2009-04-25,44,48,25,57,27,47
1069,2009-04-29,28,17,49,53,45,09
1070,2009-05-02,41,53,08,23,05,16
1071,2009-05-06,05,37,43,07,53,54
1072,2009-05-09,19,18,54,47,43,09
1073,2009-05-13,44,36,32,08,34,25
1074,2009-05-16,03,47,10,50,29,23
1075,2009-05-20,53,39,16,21,10,12
1076,2009-05-23,32,33,10,19,42,04
1077,2009-05-27,11,06,18,05,37,09
1078,2009-05-30,03,06,45,34,41,43
1079,2009-06-03,36,12,37,24,05,28
1080,2009-06-06,56,11,20,41,34,18
1081,2009-06-10,09,56,29,52,16,24
1082,2009-06-13,04,40,50,17,55,38
1083,2009-06-17,20,28,42,23,10,43
1084,2009-06-20,20,05,29,59,40,33
1085,2009-06-24,39,50,21,12,40,55
1086,2009-06-27,45,04,06,23,10,02
1087,2009-07-01,36,46,28,32,03,20
1088,2009-07-04,24,42,35,31,06,57
1089,2009-07-08,37,48,32,02,18,20
1090,2009-07-11,24,09,40,20,36,42
1091,2009-07-15,27,56,17,24,49,23
1092,2009-07-18,40,30,01,09,33,34
1093,2009-07-22,27,49,38,23,41,19
1094,2009-07-25,10,09,48,36,41,21
1095,2009-07-29,27,23,36,10,21,16
1096,2009-08-01,03,41,52,14,13,16
1097,2009-08-05,21,48,33,01,56,17
1098,2009-08-08,30,20,21,11,50,52
1099,2009-08-12,55,44,38,35,14,31
1100,2009-08-15,41,33,17,18,07,42
1101,2009-08-19,07,12,57,06,24,10
1102,2009-08-22,46,23,09,35,11,51
1103,2009-08-26,41,19,10,28,55,56
1104,2009-08-29,03,35,58,49,02,06
1105,2009-09-02,43,01,50,28,57,15
1106,2009-09-05,04,15,50,60,43,47
1107,2009-09-09,36,20,54,09,03,53
1108,2009-09-12,60,44,07,39,43,09
1109,2009-09-16,11,52,14,06,29,08
1110,2009-09-19,26,45,06,28,42,14
1111,2009-09-23,04,43,25,09,33,32
1112,2009-09-26,04,34,52,32,58,43
1113,2009-09-30,47,36,29,59,03,06
1114,2009-10-03,16,03,22,54,25,15
1115,2009-10-07,44,41,18,50,37,30
1116,2009-10-10,17,20,04,47,09,13
1117,2009-10-14,27,35,40,01,06,17
1118,2009-10-17,55,44,08,20,43,21
1119,2009-10-21,44,54,41,45,34,10
1120,2009-10-24,50,55,07,35,44,40
1121,2009-10-28,18,04,59,54,56,17
1122,2009-10-31,49,44,56,26,46,55
1123,2009-11-04,19,04,39,14,45,60
1124,2009-11-07,49,11,07,18,16,33
1125,2009-11-11,07,42,56,29,33,03
1126,2009-11-14,59,31,57,04,52,42
1127,2009-11-18,24,08,14,05,29,30
1128,2009-11-21,60,08,39,52,24,16
1129,2009-11-25,47,19,17,12,32,55
1130,2009-11-28,23,49,32,54,18,05
1131,2009-12-02,49,34,36,01,16,08
1132,2009-12-05,52,30,27,12,55,33
1133,2009-12-09,16,05,58,39,10,21
1134,2009-12-12,29,36,56,22,09,51
1135,2009-12-16,05,04,19,39,06,23
1136,2009-12-19,07,31,32,37,43,34
1137,2009-12-22,21,28,19,25,50,43
1138,2009-12-24,04,25,18,15,36,02
1139,2009-12-26,36,42,37,09,28,31
1140,2009-12-31,49,58,40,46,10,27
1141,2010-01-02,40,09,37,58,50,60
1142,2010-01-06,28,31,15,58,03,26
1143,2010-01-09,35,47,60,44,30,03
1144,2010-01-13,19,10,49,18,01,44
1145,2010-01-16,19,03,60,33,24,16
1146,2010-01-20,10,34,53,33,28,06
1147,2010-01-23,23,39,52,31,06,33
1148,2010-01-27,48,32,29,55,27,28
1149,2010-01-30,46,54,08,36,07,23
1150,2010-02-03,28,17,35,52,31,15
1151,2010-02-06,01,25,04,14,21,51
1152,2010-02-10,47,36,44,29,20,14
1153,2010-02-13,55,46,34,17,19,06
1154,2010-02-17,04,14,21,26,12,28
1155,2010-02-20,28,58,41,40,51,20
1156,2010-02-24,31,49,44,24,09,48
1157,2010-02-27,46,09,43,41,49,29
1158,2010-03-03,23,31,60,55,30,54
1159,2010-03-06,53,46,05,06,34,55
1160,2010-03-10,40,05,03,48,01,18
1161,2010-03-13,48,47,07,04,42,51
1162,2010-03-17,31,25,18,41,22,30
1163,2010-03-20,05,51,31,53,47,17
1164,2010-03-24,17,06,14,40,49,26
1165,2010-03-27,20,52,60,42,54,40
1166,2010-03-31,35,28,54,30,22,31
1167,2010-04-03,43,28,56,20,52,51
1168,2010-04-07,47,20,04,56,53,05
1169,2010-04-10,14,01,11,23,42,48
1170,2010-04-14,46,11,27,34,49,13
1171,2010-04-17,41,03,10,30,57,13
1172,2010-04-20,28,52,06,43,12,56
1173,2010-04-24,07,25,24,36,05,47
1174,2010-04-28,07,52,06,51,47,39
1175,2010-04-30,02,03,12,37,47,16
1176,2010-05-05,21,11,49,14,33,30
1177,2010-05-08,33,52,55,47,38,50
1178,2010-05-12,01,53,22,50,45,30
1179,2010-05-15,59,28,47,60,22,05
1180,2010-05-19,60,12,34,30,44,57
1181,2010-05-22,44,18,45,31,26,20
1182,2010-05-26,52,29,56,60,02,04
1183,2010-05-29,12,05,10,20,29,37
1184,2010-06-02,04,23,27,28,09,30
1185,2010-06-05,54,10,02,43,21,35
1186,2010-06-09,41,12,15,07,13,08
1187,2010-06-12,08,49,43,17,40,19
1188,2010-06-16,60,52,59,09,44,20
1189,2010-06-19,50,21,14,35,31,27
1190,2010-06-23,11,53,56,37,10,19
1191,2010-06-26,25,22,11,16,33,03
1192,2010-06-30,49,17,20,59,57,52
1193,2010-07-03,12,54,02,32,14,09
1194,2010-07-07,24,53,41,06,13,50
1195,2010-07-10,27,17,57,26,55,20
1196,2010-07-14,60,03,20,19,58,06
1197,2010-07-17,39,54,36,37,60,49
1198,2010-07-21,29,22,36,58,41,48
1199,2010-07-24,58,28,23,39,16,19
1200,2010-07-28,10,03,39,54,56,11
1201,2010-07-31,36,32,55,49,60,28
1202,2010-08-04,09,60,11,53,48,08
1203,2010-08-07,55,30,33,09,07,38
1204,2010-08-11,10,25,05,39,52,43
1205,2010-08-14,14,04,26,35,29,13
1206,2010-08-18,02,11,37,36,48,06
1207,2010-08-21,32,35,22,09,56,11
1208,2010-08-25,45,12,01,26,54,20
1209,2010-08-28,30,17,38,14,05,35
1210,2010-09-01,03,07,09,10,31,34
1211,2010-09-04,36,54,03,31,15,48
1212,2010-09-08,35,50,02,23,33,40
1213,2010-09-11,03,53,45,11,34,26
1214,2010-09-15,05,41,29,36,30,48
1215,2010-09-18,47,51,10,50,30,25
1216,2010-09-22,07,25,04,58,13,27
1217,2010-09-25,05,43,28,15,11,50
1218,2010-09-29,33,23,29,46,10,31
1219,2010-10-02,34,37,41,53,02,33
1220,2010-10-06,48,55,52,43,05,15
1221,2010-10-09,46,05,58,37,14,43
1222,2010-10-13,26,19,48,57,05,08
1223,2010-10-16,17,15,48,42,35,47
1224,2010-10-20,41,19,57,53,21,27
1225,2010-10-23,32,55,34,31,50,40
1226,2010-10-27,31,55,56,50,40,10
1227,2010-10-30,35,31,04,30,54,28
1228,2010-11-03,36,10,60,52,50,23
1229,2010-11-06,12,49,60,32,30,40
1230,2010-11-10,37,35,12,22,19,09
1231,2010-11-13,20,27,49,05,23,39
1232,2010-11-17,12,18,15,08,11,22
1233,2010-11-20,49,22,59,29,32,54
1234,2010-11-24,03,05,24,19,30,35
1235,2010-11-27,16,49,55,20,10,26
1236,2010-12-01,17,20,38,08,53,03
1237,2010-12-04,26,21,39,05,18,59
1238,2010-12-08,40,45,24,14,13,39
1239,2010-12-11,15,01,48,37,39,52
1240,2010-12-15,22,42,49,08,12,09
1241,2010-12-18,13,26,25,10,28,45
1242,2010-12-20,54,45,51,11,34,48
1243,2010-12-22,32,19,23,57,09,29
1244,2010-12-24,45,08,34,15,02,25
1245,2010-12-31,34,10,37,50,43,02
1246,2011-01-05,59,10,37,57,40,43
1247,2011-01-08,09,11,24,03,51,36
1248,2011-01-12,20,33,58,34,57,60
1249,2011-01-15,03,40,08,53,51,36
1250,2011-01-19,59,01,02,40,51,24
1251,2011-01-22,48,27,34,52,46,05
1252,2011-01-26,35,02,51,14,49,39
1253,2011-01-29,02,51,17,44,43,23
1254,2011-02-02,09,29,18,07,14,39
1255,2011-02-05,23,05,54,39,38,51
1256,2011-02-09,26,38,33,35,53,43
1257,2011-02-12,27,15,30,52,26,02
1258,2011-02-16,47,26,11,57,59,55
1259,2011-02-19,39,54,58,46,04,06
1260,2011-02-23,19,23,31,53,29,41
1261,2011-02-26,10,41,14,22,53,42
1262,2011-03-02,11,39,09,05,08,07
1263,2011-03-05,41,53,18,04,36,26
1264,2011-03-09,56,17,37,51,04,36
1265,2011-03-12,13,50,46,24,60,19
1266,2011-03-16,39,06,42,10,60,33
1267,2011-03-19,47,58,04,41,20,30
1268,2011-03-23,17,53,60,44,16,03
1269,2011-03-26,51,05,27,04,15,17
1270,2011-03-30,31,33,24,05,42,09
1271,2011-04-02,02,52,39,59,48,01
1272,2011-04-06,28,27,13,35,26,52
1273,2011-04-09,60,26,19,58,13,40
1274,2011-04-13,13,59,21,17,40,39
1275,2011-04-16,58,55,14,02,60,48
1276,2011-04-20,09,40,05,22,36,11
1277,2011-04-23,50,59,18,31,60,12
1278,2011-04-27,04,16,24,56,25,30
1279,2011-04-30,08,29,36,35,14,40
1280,2011-05-04,29,06,54,10,20,16
1281,2011-05-07,36,14,30,38,11,08
1282,2011-05-11,04,39,56,23,52,55
1283,2011-05-14,59,08,60,44,40,30
1284,2011-05-18,26,21,20,36,31,29
1285,2011-05-21,33,10,15,38,31,28
1286,2011-05-25,05,52,02,33,51,28
1287,2011-05-28,33,42,12,31,11,52
1288,2011-06-01,42,32,56,40,30,17
1289,2011-06-04,13,08,27,01,03,52
1290,2011-06-08,14,50,03,23,02,34
1291,2011-06-11,18,57,58,40,47,54
1292,2011-06-15,30,31,23,09,54,11
1293,2011-06-18,24,50,01,44,13,40
1294,2011-06-22,06,50,04,48,29,51
1295,2011-06-25,20,02,43,15,05,57
1296,2011-06-29,49,43,14,10,53,46
1297,2011-07-02,02,56,11,05,59,13
1298,2011-07-06,60,14,53,30,15,55
1299,2011-07-09,56,32,08,22,43,53
1300,2011-07-13,46,43,59,54,44,53
1301,2011-07-16,16,25,03,51,23,56
1302,2011-07-20,44,15,56,02,10,57
1303,2011-07-23,19,51,54,08,52,46
1304,2011-07-27,35,23,15,07,20,14
1305,2011-07-30,44,11,05,46,36,03
1306,2011-08-03,45,06,19,34,43,22
1307,2011-08-06,10,47,54,07,43,32
1308,2011-08-09,24,33,07,30,47,08
1309,2011-08-11,07,12,25,26,32,39
1310,2011-08-13,14,08,53,09,59,32
1311,2011-08-17,54,07,19,12,45,09
1312,2011-08-20,28,30,29,22,20,05
1313,2011-08-24,39,26,49,01,04,43
1314,2011-08-27,42,44,52,58,60,38
1315,2011-08-31,27,29,01,50,52,38
1316,2011-09-03,48,34,25,42,13,08
1317,2011-09-08,35,29,37,13,06,30
